Pais de Proveniencia|Aduana de Ingreso| Fecha de la Poliza|Partida Arancelaria|Modelo del Vehiculo|Marca|Linea|Centimetros Cubicos|Distintivo|Tipo de Vehiculo|Tipo de Importador|Tipo Combustible|Asientos|Puertas|Tonelaje|Valor CIF|Impuesto
ESTADOS UNIDOS|AGUA CALIENTE|20/07/2012| 87054000|2000|KENWORTH|T800|10800||CAMION MEZCLADOR|OCASIONAL|DIESEL|2|2|12|110853.85|38133.72|
CHINA|PUERTO QUETZAL|06/08/2012| 87112090|2013|SUZUKI|AX100|100|LIVIANO|MOTO|OCASIONAL|GASOLINA|2|0|0|342978.15|41157.38|
CHINA|PUERTO QUETZAL|06/08/2012| 87112090|2013|SUZUKI|AX100|100|LIVIANO|MOTO|OCASIONAL|GASOLINA|2|0|0|342978.15|41157.38|
CHINA|PUERTO QUETZAL|06/08/2012| 87112090|2013|SUZUKI|AX100|100|LIVIANO|MOTO|OCASIONAL|GASOLINA|2|0|0|342978.15|41157.38|
CHINA|PUERTO QUETZAL|06/08/2012| 87112090|2013|SUZUKI|AX100|100|LIVIANO|MOTO|OCASIONAL|GASOLINA|2|0|0|342978.15|41157.38|
CHINA|PUERTO QUETZAL|06/08/2012| 87112090|2013|SUZUKI|AX100|100|LIVIANO|MOTO|OCASIONAL|GASOLINA|2|0|0|342978.15|41157.38|
CHINA|PUERTO QUETZAL|06/08/2012| 87112090|2013|SUZUKI|AX100|100|LIVIANO|MOTO|OCASIONAL|GASOLINA|2|0|0|342978.15|41157.38|
CHINA|PUERTO QUETZAL|06/08/2012| 87112090|2013|SUZUKI|AX100|100|LIVIANO|MOTO|OCASIONAL|GASOLINA|2|0|0|342978.15|41157.38|
CHINA|PUERTO QUETZAL|06/08/2012| 87112090|2013|SUZUKI|AX100|100|LIVIANO|MOTO|OCASIONAL|GASOLINA|2|0|0|342978.15|41157.38|
CHINA|PUERTO QUETZAL|06/08/2012| 87112090|2013|SUZUKI|AX100|100|LIVIANO|MOTO|OCASIONAL|GASOLINA|2|0|0|342978.15|41157.38|
CHINA|PUERTO QUETZAL|06/08/2012| 87112090|2013|SUZUKI|AX100|100|LIVIANO|MOTO|OCASIONAL|GASOLINA|2|0|0|342978.15|41157.38|
CHINA|PUERTO QUETZAL|06/08/2012| 87112090|2013|SUZUKI|AX100|100|LIVIANO|MOTO|OCASIONAL|GASOLINA|2|0|0|342978.15|41157.38|
CHINA|PUERTO QUETZAL|06/08/2012| 87112090|2013|SUZUKI|AX100|100|LIVIANO|MOTO|OCASIONAL|GASOLINA|2|0|0|342978.15|41157.38|
CHINA|PUERTO QUETZAL|06/08/2012| 87112090|2013|SUZUKI|AX100|100|LIVIANO|MOTO|OCASIONAL|GASOLINA|2|0|0|342978.15|41157.38|
CHINA|PUERTO QUETZAL|06/08/2012| 87112090|2013|SUZUKI|AX100|100|LIVIANO|MOTO|OCASIONAL|GASOLINA|2|0|0|342978.15|41157.38|
CHINA|PUERTO QUETZAL|06/08/2012| 87112090|2013|SUZUKI|AX100|100|LIVIANO|MOTO|OCASIONAL|GASOLINA|2|0|0|342978.15|41157.38|
CHINA|PUERTO QUETZAL|06/08/2012| 87112090|2013|SUZUKI|AX100|100|LIVIANO|MOTO|OCASIONAL|GASOLINA|2|0|0|342978.15|41157.38|
CHINA|PUERTO QUETZAL|06/08/2012| 87112090|2013|SUZUKI|AX100|100|LIVIANO|MOTO|OCASIONAL|GASOLINA|2|0|0|342978.15|41157.38|
CHINA|PUERTO QUETZAL|06/08/2012| 87112090|2013|SUZUKI|AX100|100|LIVIANO|MOTO|OCASIONAL|GASOLINA|2|0|0|342978.15|41157.38|
CHINA|PUERTO QUETZAL|06/08/2012| 87112090|2013|SUZUKI|AX100|100|LIVIANO|MOTO|OCASIONAL|GASOLINA|2|0|0|342978.15|41157.38|
CHINA|PUERTO QUETZAL|06/08/2012| 87112090|2013|SUZUKI|AX100|100|LIVIANO|MOTO|OCASIONAL|GASOLINA|2|0|0|342978.15|41157.38|
CHINA|PUERTO QUETZAL|06/08/2012| 87112090|2013|SUZUKI|AX100|100|LIVIANO|MOTO|OCASIONAL|GASOLINA|2|0|0|342978.15|41157.38|
CHINA|PUERTO QUETZAL|06/08/2012| 87112090|2013|SUZUKI|AX100|100|LIVIANO|MOTO|OCASIONAL|GASOLINA|2|0|0|342978.15|41157.38|
CHINA|PUERTO QUETZAL|06/08/2012| 87112090|2013|SUZUKI|AX100|100|LIVIANO|MOTO|OCASIONAL|GASOLINA|2|0|0|342978.15|41157.38|
CHINA|PUERTO QUETZAL|06/08/2012| 87112090|2013|SUZUKI|AX100|100|LIVIANO|MOTO|OCASIONAL|GASOLINA|2|0|0|342978.15|41157.38|
CHINA|PUERTO QUETZAL|06/08/2012| 87112090|2013|SUZUKI|AX100|100|LIVIANO|MOTO|OCASIONAL|GASOLINA|2|0|0|342978.15|41157.38|
CHINA|PUERTO QUETZAL|06/08/2012| 87112090|2013|SUZUKI|AX100|100|LIVIANO|MOTO|OCASIONAL|GASOLINA|2|0|0|342978.15|41157.38|
CHINA|PUERTO QUETZAL|06/08/2012| 87112090|2013|SUZUKI|AX100|100|LIVIANO|MOTO|OCASIONAL|GASOLINA|2|0|0|342978.15|41157.38|
CHINA|PUERTO QUETZAL|06/08/2012| 87112090|2013|SUZUKI|AX100|100|LIVIANO|MOTO|OCASIONAL|GASOLINA|2|0|0|342978.15|41157.38|
CHINA|PUERTO QUETZAL|06/08/2012| 87112090|2013|SUZUKI|AX100|100|LIVIANO|MOTO|OCASIONAL|GASOLINA|2|0|0|342978.15|41157.38|
CHINA|PUERTO QUETZAL|06/08/2012| 87112090|2013|SUZUKI|AX100|100|LIVIANO|MOTO|OCASIONAL|GASOLINA|2|0|0|342978.15|41157.38|
CHINA|PUERTO QUETZAL|06/08/2012| 87112090|2013|SUZUKI|AX100|100|LIVIANO|MOTO|OCASIONAL|GASOLINA|2|0|0|342978.15|41157.38|
CHINA|PUERTO QUETZAL|06/08/2012| 87112090|2013|SUZUKI|AX100|100|LIVIANO|MOTO|OCASIONAL|GASOLINA|2|0|0|342978.15|41157.38|
CHINA|PUERTO QUETZAL|06/08/2012| 87112090|2013|SUZUKI|AX100|100|LIVIANO|MOTO|OCASIONAL|GASOLINA|2|0|0|342978.15|41157.38|
ESTADOS UNIDOS|PUERTO BARRIOS|10/07/2012| 87032480|2003|HONDA|ODYSSEY|3500|LIVIANO|MICROBUS|OCASIONAL|GASOLINA|7|5|0|41079.39|4929.53|
JAPON|SANTO TOMAS DE CASTILLA|12/07/2012| 87042290|2003|HINO|FB1817 TURBO INTERCOOLER|5300|PESADO|CAMION|OCASIONAL|DIESEL|3|2|6|63421.82|7610.62|
JAPON|SANTO TOMAS DE CASTILLA|12/07/2012| 87042290|2003|HINO|FB1817 TURBO INTERCOOLER|5300|PESADO|CAMION|OCASIONAL|DIESEL|3|2|6|63421.82|7610.62|
JAPON|SANTO TOMAS DE CASTILLA|12/07/2012| 87042290|2003|HINO|FB1817 TURBO INTERCOOLER|5300|PESADO|CAMION|OCASIONAL|DIESEL|3|2|6|63421.82|7610.62|
JAPON|CENTRAL DE GUATEMALA|26/07/2012| 87033370|2012|TOYOTA|PRADO|2982|LIVIANO|CAMIONETA|DISTRIBUIDOR|DIESEL|7|5|0|228998.58|27479.83|
INDONESIA|CENTRAL DE GUATEMALA|27/07/2012| 87043151|2012|SUZUKI|APV|1590|LIVIANO|PICK UP|OCASIONAL|GASOLINA|2|2|1|75993.2|9119.18|
INDIA|CENTRAL DE GUATEMALA|27/07/2012| 87032190|2012|SUZUKI|ALTO LHD 800 STANDARD|800|LIVIANO|AUTOMOVIL|OCASIONAL|GASOLINA|5|5|0|42202.3|5064.28|
JAPON|EL CARMEN|26/07/2012| 87112090|2005|HONDA|CRF100F5|100|LIVIANO|MOTO|OCASIONAL|GASOLINA|2|0|0|8460.83|1015.3|
ESTADOS UNIDOS|EL CARMEN|28/07/2012| 87043151|1994|TOYOTA|DLX X/C 4X2|2400|LIVIANO|PICK UP|OCASIONAL|GASOLINA|4|2|1|22368.64|2684.24|
ESTADOS UNIDOS|EL CARMEN|28/07/2012| 87043151|1994|TOYOTA|4X2 BASE|2400|LIVIANO|PICK UP|OCASIONAL|GASOLINA|2|2|1|17275.95|2073.11|
CANADA|TECUN UMAN|28/07/2012| 87032369|2003|TOYOTA|MATRIX XRS|1800|LIVIANO|CAMIONETILLA|OCASIONAL|GASOLINA|5|4|0|40217.64|4826.12|
ESTADOS UNIDOS|TECUN UMAN|03/08/2012| 87043151|1994|TOYOTA|DX 4X4|2400|LIVIANO|PICK UP|OCASIONAL|GASOLINA|2|2|1|22460.06|2695.21|
CHINA|PUERTO QUETZAL|06/08/2012| 87112090|2013|SUZUKI|GN125H|125|LIVIANO|MOTO|OCASIONAL|GASOLINA|2|0|0|250702.74|30084.33|
