Pais de Proveniencia|Aduana de Ingreso| Fecha de la Poliza|Partida Arancelaria|Modelo del Vehiculo|Marca|Linea|Centimetros Cubicos|Distintivo|Tipo de Vehiculo|Tipo de Importador|Tipo Combustible|Asientos|Puertas|Tonelaje|Valor CIF|Impuesto
TAILANDIA|PUERTO QUETZAL|09/01/2013| 87042159|2013|TOYOTA|HI LUX|2494|LIVIANO|PICK UP|DISTRIBUIDOR|DIESEL|5|4|1|905674.77|108680.97|
TAILANDIA|PUERTO QUETZAL|09/01/2013| 87042159|2013|TOYOTA|HI LUX|2494|LIVIANO|PICK UP|DISTRIBUIDOR|DIESEL|5|4|1|905674.77|108680.97|
TAILANDIA|PUERTO QUETZAL|09/01/2013| 87042159|2013|TOYOTA|HI LUX|2494|LIVIANO|PICK UP|DISTRIBUIDOR|DIESEL|5|4|1|905674.77|108680.97|
TAILANDIA|PUERTO QUETZAL|09/01/2013| 87042159|2013|TOYOTA|HI LUX|2494|LIVIANO|PICK UP|DISTRIBUIDOR|DIESEL|5|4|1|905674.77|108680.97|
TAILANDIA|PUERTO QUETZAL|09/01/2013| 87042159|2013|TOYOTA|HI LUX|2494|LIVIANO|PICK UP|DISTRIBUIDOR|DIESEL|5|4|1|905674.77|108680.97|
TAILANDIA|PUERTO QUETZAL|09/01/2013| 87042159|2013|TOYOTA|HI LUX|2494|LIVIANO|PICK UP|DISTRIBUIDOR|DIESEL|5|4|1|905674.77|108680.97|
TAILANDIA|PUERTO QUETZAL|09/01/2013| 87042159|2013|TOYOTA|HI LUX|2494|LIVIANO|PICK UP|DISTRIBUIDOR|DIESEL|5|4|1|905674.77|108680.97|
JAPON|PUERTO QUETZAL|09/01/2013| 87032269|2013|TOYOTA|YARIS|1497|LIVIANO|AUTOMOVIL|DISTRIBUIDOR|GASOLINA|5|4|0|182252.96|21870.36|
JAPON|PUERTO QUETZAL|09/01/2013| 87032269|2013|TOYOTA|YARIS|1497|LIVIANO|AUTOMOVIL|DISTRIBUIDOR|GASOLINA|5|4|0|182252.96|21870.36|
JAPON|PUERTO QUETZAL|09/01/2013| 87032269|2013|TOYOTA|YARIS|1497|LIVIANO|AUTOMOVIL|DISTRIBUIDOR|GASOLINA|5|4|0|177004.84|21240.58|
JAPON|PUERTO QUETZAL|09/01/2013| 87032269|2013|TOYOTA|YARIS|1497|LIVIANO|AUTOMOVIL|DISTRIBUIDOR|GASOLINA|5|4|0|177004.84|21240.58|
JAPON|PUERTO QUETZAL|09/01/2013| 87032269|2013|TOYOTA|YARIS|1497|LIVIANO|AUTOMOVIL|DISTRIBUIDOR|GASOLINA|5|4|0|177004.84|21240.58|
JAPON|PUERTO QUETZAL|09/01/2013| 87032269|2013|TOYOTA|YARIS|1497|LIVIANO|AUTOMOVIL|DISTRIBUIDOR|GASOLINA|5|4|0|177004.84|21240.58|
JAPON|PUERTO QUETZAL|09/01/2013| 87032269|2013|TOYOTA|YARIS|1497|LIVIANO|AUTOMOVIL|DISTRIBUIDOR|GASOLINA|5|4|0|88502.5|10620.3|
JAPON|PUERTO QUETZAL|09/01/2013| 87032269|2013|TOYOTA|YARIS|1497|LIVIANO|AUTOMOVIL|DISTRIBUIDOR|GASOLINA|5|4|0|88502.42|10620.29|
TAILANDIA|PUERTO QUETZAL|09/01/2013| 87042159|2013|TOYOTA|HI LUX|2494|LIVIANO|PICK UP|DISTRIBUIDOR|DIESEL|5|4|1|278993.35|33479.2|
TAILANDIA|PUERTO QUETZAL|09/01/2013| 87042159|2013|TOYOTA|HI LUX|2494|LIVIANO|PICK UP|DISTRIBUIDOR|DIESEL|5|4|1|278993.35|33479.2|
JAPON|CENTRAL DE GUATEMALA|10/01/2013| 87032152|2002|YAMAHA|WOLVERINE|348||CUATRIMOTO|OCASIONAL|GASOLINA|1|0|.2|19725.62|2367.07|
TAILANDIA|PUERTO QUETZAL|09/01/2013| 87042159|2013|TOYOTA|HI LUX|2494|LIVIANO|PICK UP|DISTRIBUIDOR|DIESEL|5|4|1|244940.19|29392.82|
TAILANDIA|PUERTO QUETZAL|09/01/2013| 87042159|2013|TOYOTA|HI LUX|2494|LIVIANO|PICK UP|DISTRIBUIDOR|DIESEL|5|4|1|244940.19|29392.82|
JAPON|PUERTO QUETZAL|09/01/2013| 87032369|2013|TOYOTA|COROLLA GLI|1798|LIVIANO|AUTOMOVIL|DISTRIBUIDOR|GASOLINA|5|4|0|113860.39|13663.25|
JAPON|PUERTO QUETZAL|09/01/2013| 87032259|2013|TOYOTA|YARIS|1299|LIVIANO|AUTOMOVIL|DISTRIBUIDOR|GASOLINA|5|5|0|70547.48|8465.7|
JAPON|PUERTO QUETZAL|09/01/2013| 87032373|2013|TOYOTA|RAV4|2362|LIVIANO|CAMIONETA|DISTRIBUIDOR|GASOLINA|5|5|0|146669.11|17600.29|
JAPON|PUERTO QUETZAL|09/01/2013| 87032269|2013|TOYOTA|YARIS|1497|LIVIANO|AUTOMOVIL|DISTRIBUIDOR|GASOLINA|5|4|0|88502.42|10620.29|
TAILANDIA|PUERTO QUETZAL|09/01/2013| 87042159|2013|TOYOTA|HI LUX|2494|LIVIANO|PICK UP|DISTRIBUIDOR|DIESEL|5|4|1|129382.11|15525.85|
TAILANDIA|PUERTO QUETZAL|09/01/2013| 87042159|2013|MAZDA|BT-50 4X2|2499|LIVIANO|PICK UP|DISTRIBUIDOR|DIESEL|3|2|1|92956.02|11154.72|
TAILANDIA|PUERTO QUETZAL|09/01/2013| 87042159|2013|MAZDA|BT-50 4X4 DOBLE CABINA|2499|LIVIANO|PICK UP|DISTRIBUIDOR|DIESEL|5|4|1|418070.88|50168.51|
TAILANDIA|PUERTO QUETZAL|09/01/2013| 87042159|2013|MAZDA|BT-50 4X4 DOBLE CABINA|2499|LIVIANO|PICK UP|DISTRIBUIDOR|DIESEL|5|4|1|418070.88|50168.51|
TAILANDIA|PUERTO QUETZAL|09/01/2013| 87042159|2013|MAZDA|BT-50 4X4 DOBLE CABINA|2499|LIVIANO|PICK UP|DISTRIBUIDOR|DIESEL|5|4|1|418070.88|50168.51|
TAILANDIA|PUERTO QUETZAL|09/01/2013| 87042159|2013|MAZDA|BT-50 4X4 DOBLE CABINA|2499|LIVIANO|PICK UP|DISTRIBUIDOR|DIESEL|5|4|1|418070.88|50168.51|
TAILANDIA|PUERTO QUETZAL|09/01/2013| 87042159|2013|MAZDA|BT-50 4X4 DOBLE CABINA|2499|LIVIANO|PICK UP|DISTRIBUIDOR|DIESEL|5|4|1|770468.23|92456.19|
