Pais de Proveniencia|Aduana de Ingreso| Fecha de la Poliza|Partida Arancelaria|Modelo del Vehiculo|Marca|Linea|Centimetros Cubicos|Distintivo|Tipo de Vehiculo|Tipo de Importador|Tipo Combustible|Asientos|Puertas|Tonelaje|Valor CIF|Impuesto
INDIA|CENTRAL DE GUATEMALA|08/02/2013| 87032259|2013|SUZUKI|SWIFT DZIRE GA AC MT|1200|LIVIANO|AUTOMOVIL|OCASIONAL|GASOLINA|5|5|0|133660.04|16039.2|
INDIA|CENTRAL DE GUATEMALA|08/02/2013| 87032259|2013|SUZUKI|SWIFT DZIRE GA AC MT|1200|LIVIANO|AUTOMOVIL|OCASIONAL|GASOLINA|5|5|0|133660.04|16039.2|
ESTADOS UNIDOS|TECUN UMAN|08/02/2013| 87032152|2011|POLARIS|SPORTSMAN 850 XP 4X4|850||CUATRIMOTO|OCASIONAL|GASOLINA|2|0|0|74710.11|8965.21|
CHINA|PUERTO QUETZAL|08/02/2013| 87112090|2013|LONCIN|LX150-30|150|LIVIANO|MOTO|DISTRIBUIDOR|GASOLINA|2|0|0|546563.21|65587.59|
CHINA|PUERTO QUETZAL|08/02/2013| 87112090|2013|LONCIN|LX150-30|150|LIVIANO|MOTO|DISTRIBUIDOR|GASOLINA|2|0|0|546563.21|65587.59|
CHINA|PUERTO QUETZAL|08/02/2013| 87112090|2013|LONCIN|LX150-30|150|LIVIANO|MOTO|DISTRIBUIDOR|GASOLINA|2|0|0|546563.21|65587.59|
CHINA|PUERTO QUETZAL|08/02/2013| 87112090|2013|LONCIN|LX150-30|150|LIVIANO|MOTO|DISTRIBUIDOR|GASOLINA|2|0|0|546563.21|65587.59|
CHINA|PUERTO QUETZAL|08/02/2013| 87112090|2013|LONCIN|LX150-30|150|LIVIANO|MOTO|DISTRIBUIDOR|GASOLINA|2|0|0|546563.21|65587.59|
CHINA|PUERTO QUETZAL|08/02/2013| 87112090|2013|LONCIN|LX150-30|150|LIVIANO|MOTO|DISTRIBUIDOR|GASOLINA|2|0|0|546563.21|65587.59|
CHINA|PUERTO QUETZAL|08/02/2013| 87112090|2013|LONCIN|LX150-30|150|LIVIANO|MOTO|DISTRIBUIDOR|GASOLINA|2|0|0|546563.21|65587.59|
CHINA|PUERTO QUETZAL|08/02/2013| 87112090|2013|LONCIN|LX150-30|150|LIVIANO|MOTO|DISTRIBUIDOR|GASOLINA|2|0|0|546563.21|65587.59|
CHINA|PUERTO QUETZAL|08/02/2013| 87112090|2013|LONCIN|LX150-30|150|LIVIANO|MOTO|DISTRIBUIDOR|GASOLINA|2|0|0|546563.21|65587.59|
CHINA|PUERTO QUETZAL|08/02/2013| 87112090|2013|LONCIN|LX150-30|150|LIVIANO|MOTO|DISTRIBUIDOR|GASOLINA|2|0|0|546563.21|65587.59|
CHINA|PUERTO QUETZAL|08/02/2013| 87112090|2013|LONCIN|LX150-30|150|LIVIANO|MOTO|DISTRIBUIDOR|GASOLINA|2|0|0|546563.21|65587.59|
CHINA|PUERTO QUETZAL|08/02/2013| 87112090|2013|LONCIN|LX150-30|150|LIVIANO|MOTO|DISTRIBUIDOR|GASOLINA|2|0|0|546563.21|65587.59|
CHINA|PUERTO QUETZAL|08/02/2013| 87112090|2013|LONCIN|LX150-30|150|LIVIANO|MOTO|DISTRIBUIDOR|GASOLINA|2|0|0|546563.21|65587.59|
CHINA|PUERTO QUETZAL|08/02/2013| 87112090|2013|LONCIN|LX150-30|150|LIVIANO|MOTO|DISTRIBUIDOR|GASOLINA|2|0|0|546563.21|65587.59|
CHINA|PUERTO QUETZAL|08/02/2013| 87112090|2013|LONCIN|LX150-30|150|LIVIANO|MOTO|DISTRIBUIDOR|GASOLINA|2|0|0|546563.21|65587.59|
CHINA|PUERTO QUETZAL|08/02/2013| 87112090|2013|LONCIN|LX150-30|150|LIVIANO|MOTO|DISTRIBUIDOR|GASOLINA|2|0|0|546563.21|65587.59|
CHINA|PUERTO QUETZAL|08/02/2013| 87112090|2013|LONCIN|LX150-30|150|LIVIANO|MOTO|DISTRIBUIDOR|GASOLINA|2|0|0|546563.21|65587.59|
CHINA|PUERTO QUETZAL|08/02/2013| 87112090|2013|LONCIN|LX150-30|150|LIVIANO|MOTO|DISTRIBUIDOR|GASOLINA|2|0|0|546563.21|65587.59|
CHINA|PUERTO QUETZAL|08/02/2013| 87112090|2013|LONCIN|LX150-30|150|LIVIANO|MOTO|DISTRIBUIDOR|GASOLINA|2|0|0|546563.21|65587.59|
CHINA|PUERTO QUETZAL|08/02/2013| 87112090|2013|LONCIN|LX150-30|150|LIVIANO|MOTO|DISTRIBUIDOR|GASOLINA|2|0|0|546563.21|65587.59|
CHINA|PUERTO QUETZAL|08/02/2013| 87112090|2013|LONCIN|LX150-30|150|LIVIANO|MOTO|DISTRIBUIDOR|GASOLINA|2|0|0|546563.21|65587.59|
CHINA|PUERTO QUETZAL|08/02/2013| 87112090|2013|LONCIN|LX150-30|150|LIVIANO|MOTO|DISTRIBUIDOR|GASOLINA|2|0|0|546563.21|65587.59|
CHINA|PUERTO QUETZAL|08/02/2013| 87112090|2013|LONCIN|LX150-30|150|LIVIANO|MOTO|DISTRIBUIDOR|GASOLINA|2|0|0|546563.21|65587.59|
CHINA|PUERTO QUETZAL|08/02/2013| 87112090|2013|LONCIN|LX150-30|150|LIVIANO|MOTO|DISTRIBUIDOR|GASOLINA|2|0|0|546563.21|65587.59|
CHINA|PUERTO QUETZAL|08/02/2013| 87112090|2013|LONCIN|LX150-30|150|LIVIANO|MOTO|DISTRIBUIDOR|GASOLINA|2|0|0|546563.21|65587.59|
JAPON|EL CARMEN|08/02/2013| 87032369|2005|MAZDA|MAZDA3 i|2000|LIVIANO|AUTOMOVIL|OCASIONAL|GASOLINA|5|4|0|21430.77|2571.69|
ESTADOS UNIDOS|PUERTO BARRIOS|08/02/2013| 87032470|2007|JEEP|LIBERTY 3.7L 4X4|3700|LIVIANO|CAMIONETA|OCASIONAL|GASOLINA|5|4|0|15268.44|1832.21|
COREA DEL SUR|TECUN UMAN|08/02/2013| 87032470|2006|KIA|SORENTO LX 4X4|3500|LIVIANO|CAMIONETA|OCASIONAL|GASOLINA|5|4|0|42312.04|5077.44|
ESTADOS UNIDOS|TECUN UMAN|08/02/2013| 87032369|2005|TOYOTA|COROLLA CE|1800|LIVIANO|AUTOMOVIL|OCASIONAL|GASOLINA|5|4|0|18518.39|2222.21|
ESTADOS UNIDOS|TECUN UMAN|08/02/2013| 87032369|2003|MAZDA|PROTEGE 5|2000|LIVIANO|CAMIONETILLA|OCASIONAL|GASOLINA|5|4|0|16642.21|1997.07|
COREA DEL SUR|TECUN UMAN|08/02/2013| 87032379|2003|HYUNDAI|SANTA FE GL 4X2|2400|LIVIANO|CAMIONETA|OCASIONAL|GASOLINA|5|4|0|18722.49|2246.7|
ESTADOS UNIDOS|PUERTO BARRIOS|08/02/2013| 87012000|1996|FREIGHTLINER|FLD120|12700|PESADO|CABEZAL|OCASIONAL|DIESEL|2|2|25|59503.76|7140.45|
MEXICO|TECUN UMAN|08/02/2013| 87032369|2011|NISSAN|VERSA|1800|LIVIANO|AUTOMOVIL|OCASIONAL|GASOLINA|5|4|0|18329.98|2199.6|
JAPON|EL CARMEN|12/02/2013| 87112090|2002|HONDA|XR100R|100|LIVIANO|MOTO|OCASIONAL|GASOLINA|1|0|0|9882.43|1185.89|
ESTADOS UNIDOS|TECUN UMAN|13/02/2013| 87163900|1990|STOUGHTON|AVW-485T-S-C-AR|0|PESADO|FURGON|OCASIONAL|OTROS|0|2|20|31458.11|7298.28|
ESTADOS UNIDOS|PUERTO BARRIOS|13/02/2013| 87114090|2007|HONDA|XR650L|650|LIVIANO|MOTO|OCASIONAL|GASOLINA|2|0|0|30753.82|3690.46|
CHINA|PUERTO QUETZAL|14/02/2013| 87112090|2013|FREEDOM|FIRE125|125|LIVIANO|MOTO|DISTRIBUIDOR|GASOLINA|2|0|0|1829779.18|219573.5|
CHINA|PUERTO QUETZAL|14/02/2013| 87112090|2013|FREEDOM|FIRE125|125|LIVIANO|MOTO|DISTRIBUIDOR|GASOLINA|2|0|0|1829779.18|219573.5|
CHINA|PUERTO QUETZAL|14/02/2013| 87112090|2013|FREEDOM|FIRE125|125|LIVIANO|MOTO|DISTRIBUIDOR|GASOLINA|2|0|0|1829779.18|219573.5|
CHINA|PUERTO QUETZAL|14/02/2013| 87112090|2013|FREEDOM|FIRE125|125|LIVIANO|MOTO|DISTRIBUIDOR|GASOLINA|2|0|0|1829779.18|219573.5|
CHINA|PUERTO QUETZAL|14/02/2013| 87112090|2013|FREEDOM|FIRE125|125|LIVIANO|MOTO|DISTRIBUIDOR|GASOLINA|2|0|0|1829779.18|219573.5|
CHINA|PUERTO QUETZAL|14/02/2013| 87112090|2013|FREEDOM|FIRE125|125|LIVIANO|MOTO|DISTRIBUIDOR|GASOLINA|2|0|0|1829779.18|219573.5|
CHINA|PUERTO QUETZAL|14/02/2013| 87112090|2013|FREEDOM|FIRE125|125|LIVIANO|MOTO|DISTRIBUIDOR|GASOLINA|2|0|0|1829779.18|219573.5|
