Pais de Proveniencia|Aduana de Ingreso| Fecha de la Poliza|Partida Arancelaria|Modelo del Vehiculo|Marca|Linea|Centimetros Cubicos|Distintivo|Tipo de Vehiculo|Tipo de Importador|Tipo Combustible|Asientos|Puertas|Tonelaje|Valor CIF|Impuesto
JAPON|TECUN UMAN|21/12/2015| 87032369|2004|ACURA|RSX-S|2000|LIVIANO|AUTOMOVIL|OCASIONAL|GASOLINA|4|2|0|28673.38|3440.81|
JAPON|TECUN UMAN|20/12/2015| 87032369|2003|ACURA|RSX TYPE S|2000|LIVIANO|AUTOMOVIL|OCASIONAL|GASOLINA|4|2|0|12177.24|1461.27|
JAPON|TECUN UMAN|20/12/2015| 87032379|2006|ACURA|TSX|2400|LIVIANO|AUTOMOVIL|OCASIONAL|GASOLINA|5|4|0|47093.45|5651.21|
ESTADOS UNIDOS|SANTO TOMAS DE CASTILLA|14/12/2015| 87032369|2004|ACURA|RSX|2000|LIVIANO|AUTOMOVIL|OCASIONAL|GASOLINA|4|2|0|14022.47|1682.7|
JAPON|PUERTO BARRIOS|09/12/2015| 87032369|2002|ACURA|RSX|2000|LIVIANO|AUTOMOVIL|OCASIONAL|GASOLINA|4|2|0|8485.04|1018.2|
ESTADOS UNIDOS|PUERTO BARRIOS|07/01/2016| 87032369|2003|ACURA|RSX|2000|LIVIANO|AUTOMOVIL|OCASIONAL|GASOLINA|4|2|0|10165.84|1219.9|
ESTADOS UNIDOS|PUERTO BARRIOS|29/12/2015| 87032369|1996|ACURA|INTEGRA LS|1800|LIVIANO|AUTOMOVIL|OCASIONAL|GASOLINA|4|2|0|12031.23|1443.75|
HUNGRIA|CENTRAL DE GUATEMALA|18/12/2015| 87032259|2016|AUDI|A3|1197|LIVIANO|AUTOMOVIL|OCASIONAL|GASOLINA|5|4|0|156476.99|18777.24|
ALEMANIA REP. FED.|TECUN UMAN|22/12/2015| 87032369|2007|AUDI|A4|2000|LIVIANO|AUTOMOVIL|OCASIONAL|GASOLINA|5|4|0|34352.76|4122.33|
ALEMANIA REP. FED.|CENTRAL DE GUATEMALA|14/12/2015| 87033269|2016|AUDI|Q5|1968|LIVIANO|CAMIONETA|OCASIONAL|DIESEL|5|5|0|238424.79|28610.97|
ESPANA|SANTO TOMAS DE CASTILLA|06/01/2016| 87032363|2016|AUDI|Q3|1984|LIVIANO|CAMIONETA|OCASIONAL|GASOLINA|5|5|0|207376.92|24885.23|
ESPANA|SANTO TOMAS DE CASTILLA|06/01/2016| 87032363|2016|AUDI|Q3|1984|LIVIANO|CAMIONETA|OCASIONAL|GASOLINA|5|5|0|207376.92|24885.23|
ESPANA|SANTO TOMAS DE CASTILLA|06/01/2016| 87032363|2016|AUDI|Q3|1984|LIVIANO|CAMIONETA|OCASIONAL|GASOLINA|5|5|0|207376.92|24885.23|
HUNGRIA|SANTO TOMAS DE CASTILLA|06/01/2016| 87032369|2016|AUDI|S3|1984|LIVIANO|AUTOMOVIL|OCASIONAL|GASOLINA|5|4|0|248516.01|29821.92|
HUNGRIA|SANTO TOMAS DE CASTILLA|06/01/2016| 87032369|2016|AUDI|S3|1984|LIVIANO|AUTOMOVIL|OCASIONAL|GASOLINA|5|4|0|250045.12|30005.41|
ALEMANIA REP. FED.|SANTO TOMAS DE CASTILLA|06/01/2016| 87032379|2016|AUDI|RS3|2480|LIVIANO|AUTOMOVIL|OCASIONAL|GASOLINA|5|5|0|359831.42|43179.77|
ALEMANIA REP. FED.|CENTRAL DE GUATEMALA|07/01/2016| 87033269|2016|AUDI|Q5|1968|LIVIANO|CAMIONETA|OCASIONAL|DIESEL|5|5|0|215148.92|25817.87|
ALEMANIA REP. FED.|CENTRAL DE GUATEMALA|07/01/2016| 87033269|2016|AUDI|Q5|1968|LIVIANO|CAMIONETA|OCASIONAL|DIESEL|5|5|0|208326.11|24999.13|
ESTADOS UNIDOS|PUERTO BARRIOS|17/12/2015| 87032369|2010|AUDI|A4 2.0T QUATTRO|2000|LIVIANO|AUTOMOVIL|OCASIONAL|GASOLINA|5|4|0|42944.09|5153.29|
ALEMANIA REP. FED.|TECUN UMAN|21/12/2015| 87032369|2007|AUDI|A3|2000|LIVIANO|AUTOMOVIL|OCASIONAL|GASOLINA|5|4|0|20002.74|2400.33|
ESTADOS UNIDOS|PUERTO BARRIOS|31/12/2015| 87032369|2001|AUDI|A4 1.8T QUATTRO|1800|LIVIANO|AUTOMOVIL|OCASIONAL|GASOLINA|5|4|0|13585.67|1630.28|
ESTADOS UNIDOS|SANTO TOMAS DE CASTILLA|18/12/2015| 87032369|2006|AUDI|A4 Quattro|2000|LIVIANO|AUTOMOVIL|OCASIONAL|GASOLINA|5|4|0|19500.35|2340.04|
ALEMANIA REP. FED.|CENTRAL DE GUATEMALA|11/12/2015| 87032369|2016|AUDI|Q5|1984|LIVIANO|CAMIONETA|OCASIONAL|GASOLINA|5|5|0|231993.14|27839.18|
ALEMANIA REP. FED.|CENTRAL DE GUATEMALA|11/12/2015| 87032369|2016|AUDI|Q5|1984|LIVIANO|CAMIONETA|OCASIONAL|GASOLINA|5|5|0|231993.14|27839.18|
ALEMANIA REP. FED.|PUERTO QUETZAL|05/01/2016| 87032369|2011|AUDI|Q5|2000|LIVIANO|CAMIONETA|OCASIONAL|GASOLINA|5|5|0|89718.03|10766.16|
ESPANA|CENTRAL DE GUATEMALA|05/01/2016| 87032269|2016|AUDI|Q3|1395|LIVIANO|CAMIONETA|OCASIONAL|GASOLINA|5|5|0|174363.7|20923.64|
ALEMANIA REP. FED.|G1, INTEGRADA|07/01/2016| 87032369|2000|AUDI|A4|1800|LIVIANO|AUTOMOVIL|OCASIONAL|GASOLINA|5|4|0|12268.08|1472.17|
ALEMANIA REP. FED.|CENTRAL DE GUATEMALA|22/12/2015| 87033269|2016|AUDI|Q5|1968|LIVIANO|CAMIONETA|OCASIONAL|DIESEL|5|5|0|238349.74|28601.97|
ALEMANIA REP. FED.|TECUN UMAN|09/12/2015| 87032369|2007|AUDI|A4  2.OT|2000|LIVIANO|AUTOMOVIL|OCASIONAL|GASOLINA|5|4|0|34061.01|4087.32|
ESTADOS UNIDOS|SANTO TOMAS DE CASTILLA|28/12/2015| 87032490|2005|AUDI|S4 QUATTRO CABRIOLET|4200|LIVIANO|AUTOMOVIL|OCASIONAL|GASOLINA|4|2|0|29812.36|3577.48|
ESTADOS UNIDOS|PUERTO BARRIOS|22/12/2015| 87032369|2007|AUDI|A4 2.0T|1984|LIVIANO|AUTOMOVIL|OCASIONAL|GASOLINA|5|4|0|25779.81|3093.58|
ALEMANIA REP. FED.|EL CARMEN|17/12/2015| 87032369|2007|AUDI|A4 2.0T|2000|LIVIANO|AUTOMOVIL|OCASIONAL|GASOLINA|5|4|0|32969.49|3956.34|
HUNGRIA|SANTO TOMAS DE CASTILLA|05/01/2016| 87032259|2016|AUDI|A3|1197|LIVIANO|AUTOMOVIL|OCASIONAL|GASOLINA|5|4|0|149978.84|17997.46|
HUNGRIA|SANTO TOMAS DE CASTILLA|05/01/2016| 87032259|2016|AUDI|A3|1197|LIVIANO|AUTOMOVIL|OCASIONAL|GASOLINA|5|4|0|149978.84|17997.46|
HUNGRIA|SANTO TOMAS DE CASTILLA|05/01/2016| 87032259|2016|AUDI|A3|1197|LIVIANO|AUTOMOVIL|OCASIONAL|GASOLINA|5|4|0|149978.84|17997.46|
ALEMANIA REP. FED.|SANTO TOMAS DE CASTILLA|05/01/2016| 87032259|2016|AUDI|A3|1197|LIVIANO|AUTOMOVIL|OCASIONAL|GASOLINA|5|5|0|139751.64|16770.2|
ALEMANIA REP. FED.|SANTO TOMAS DE CASTILLA|05/01/2016| 87032259|2016|AUDI|A3|1197|LIVIANO|AUTOMOVIL|OCASIONAL|GASOLINA|5|5|0|143455.25|17214.63|
ALEMANIA REP. FED.|SANTO TOMAS DE CASTILLA|05/01/2016| 87032259|2016|AUDI|A3|1197|LIVIANO|AUTOMOVIL|OCASIONAL|GASOLINA|5|5|0|143455.25|17214.63|
HUNGRIA|CENTRAL DE GUATEMALA|11/12/2015| 87032369|2016|AUDI|A3|1798|LIVIANO|AUTOMOVIL|OCASIONAL|GASOLINA|5|4|0|182157.95|21858.95|
ESTADOS UNIDOS|PUERTO BARRIOS|31/12/2015| 87032369|2007|AUDI|A3 2.0T|2000|LIVIANO|AUTOMOVIL|OCASIONAL|GASOLINA|5|4|0|15951.72|1914.21|
ESTADOS UNIDOS|PUERTO BARRIOS|10/12/2015| 87032369|2006|AUDI|A4 2.0T QUATTRO S-LINE|1984|LIVIANO|AUTOMOVIL|OCASIONAL|GASOLINA|5|4|0|23208.98|2785.08|
SLOVAKIA|CENTRAL DE GUATEMALA|11/12/2015| 87033380|2016|AUDI|Q7|2967|LIVIANO|CAMIONETA|OCASIONAL|DIESEL|7|5|0|350361.55|42043.39|
ESPANA|CENTRAL DE GUATEMALA|11/12/2015| 87032269|2016|AUDI|Q3|1395|LIVIANO|CAMIONETA|OCASIONAL|GASOLINA|5|5|0|174160.02|20899.2|
ESPANA|CENTRAL DE GUATEMALA|11/12/2015| 87032269|2016|AUDI|Q3|1395|LIVIANO|CAMIONETA|OCASIONAL|GASOLINA|5|5|0|174160.02|20899.2|
ALEMANIA REP. FED.|CENTRAL DE GUATEMALA|11/12/2015| 87032369|2016|AUDI|Q5|1984|LIVIANO|CAMIONETA|OCASIONAL|GASOLINA|5|5|0|232313.41|27877.61|
ESTADOS UNIDOS|SANTO TOMAS DE CASTILLA|19/12/2015| 87032369|2006|AUDI|A3|2000|LIVIANO|AUTOMOVIL|OCASIONAL|GASOLINA|5|4|0|18022.01|2162.64|
COREA DEL SUR|PUERTO QUETZAL|04/01/2016| 87032369|1998|AUDI|A4|1800|LIVIANO|AUTOMOVIL|OCASIONAL|GASOLINA|5|4|0|13896.04|1667.52|
ESTADOS UNIDOS|PUERTO BARRIOS|21/12/2015| 87032369|2004|AUDI|A4 1.8T QUATTRO|1800|LIVIANO|AUTOMOVIL|OCASIONAL|GASOLINA|5|4|0|12024.83|1442.98|
ESPANA|CENTRAL DE GUATEMALA|07/01/2016| 87032269|2016|AUDI|Q3|1395|LIVIANO|CAMIONETA|OCASIONAL|GASOLINA|5|5|0|175150.98|21018.12|
SLOVAKIA|SANTO TOMAS DE CASTILLA|06/01/2016| 87032364|2016|AUDI|Q7|1984|LIVIANO|CAMIONETA|OCASIONAL|GASOLINA|7|5|0|309966.54|37195.98|
SLOVAKIA|SANTO TOMAS DE CASTILLA|06/01/2016| 87032364|2016|AUDI|Q7|1984|LIVIANO|CAMIONETA|OCASIONAL|GASOLINA|7|5|0|309966.54|37195.98|
SLOVAKIA|SANTO TOMAS DE CASTILLA|06/01/2016| 87033380|2016|AUDI|Q7|2967|LIVIANO|CAMIONETA|OCASIONAL|DIESEL|7|5|0|351366.91|42164.03|
SLOVAKIA|SANTO TOMAS DE CASTILLA|06/01/2016| 87032364|2016|AUDI|Q7|1984|LIVIANO|CAMIONETA|OCASIONAL|GASOLINA|7|5|0|314400.11|37728.01|
ALEMANIA REP. FED.|SANTO TOMAS DE CASTILLA|06/01/2016| 87032379|2016|AUDI|RS3|2480|LIVIANO|AUTOMOVIL|OCASIONAL|GASOLINA|5|5|0|358743.37|43049.2|
ALEMANIA REP. FED.|SANTO TOMAS DE CASTILLA|06/01/2016| 87032363|2016|AUDI|Q5|1984|LIVIANO|CAMIONETA|OCASIONAL|GASOLINA|5|5|0|211913.43|25429.61|
ALEMANIA REP. FED.|SANTO TOMAS DE CASTILLA|06/01/2016| 87032363|2016|AUDI|Q5|1984|LIVIANO|CAMIONETA|OCASIONAL|GASOLINA|5|5|0|211913.43|25429.61|
SLOVAKIA|CENTRAL DE GUATEMALA|23/12/2015| 87033380|2016|AUDI|Q7|2967|LIVIANO|CAMIONETA|OCASIONAL|DIESEL|7|5|0|331805.42|39816.65|
ALEMANIA REP. FED.|SANTO TOMAS DE CASTILLA|06/01/2016| 87032363|2016|AUDI|Q5|1984|LIVIANO|CAMIONETA|OCASIONAL|GASOLINA|5|5|0|211913.43|25429.61|
